nm_d_c,nm_d_addr,x_d_uk,y_d_uk
화순군청,전라남도 화순군 화순읍 동헌길 23,953180,1674468
화순군청,전라남도 화순군 화순읍 동헌길 23,953180,1674468
화순전남대학교 병원,전라남도 화순군 화순읍 서양로 322,954607,1673954
화순군 사평면,전라남도 화순군 남면 사호로 229,963135,1668102
화순군 백아면,전라남도 화순군 북면 학천길 26,966523,1685920
화순군 능주면,전라남도 화순군 능주면 죽수길 73,950537,1666225
화순군 화순읍,전라남도 화순군 화순읍 중앙로 20-4,952995,1674017
화순군 화순읍2,전라남도 화순군 화순읍 중앙로 20-4,952995,1674017
화순우체국,전라남도 화순군 화순읍 중앙로 85,953560,1674088
화순축협본점,전라남도 화순군 화순읍 서양로 145,953415,1673170
군민종합문화센터,전라남도 화순군 화순읍 광덕로 231,953662,1674613
