"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
20655887,"홍이네","","Q","음식","Q01","한식","Q01A07","부대찌개/섞어찌개","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031206210000,1,"대지",621,NA,"전라남도 화순군 화순읍 삼천리 621",467904673266,"전라남도 화순군 화순읍 시장길",42,NA,"4679025031106210000042181","화순전통시장","전라남도 화순군 화순읍 시장길 42",519807,58122,"","1",NA,126.983427174941,35.0590871991344
28493823,"대화모텔","","O","숙박","O02","모텔/여관/여인숙","O02A01","모텔/여관/여인숙","I55112","여관업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025021,"화순읍",4679025021202110016,1,"대지",211,16,"전라남도 화순군 화순읍 교리 211-16",467903291015,"전라남도 화순군 화순읍 쌍충로",112,NA,"4679025021102110016041660","대화모텔","전라남도 화순군 화순읍 쌍충로 112",519804,58120,"","1",NA,126.980938871472,35.0617164667601
24280281,"가온감정평가법인광주전남","","L","부동산","L04","평가/개발/관리","L04A04","부동산감정평가","L68222","부동산 감정평가업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025025,"화순읍",4679025025200380001,1,"대지",38,1,"전라남도 화순군 화순읍 훈리 38-1",467903291032,"전라남도 화순군 화순읍 진각로",144,NA,"4679025025100380001000001","이지오피스텔","전라남도 화순군 화순읍 진각로 144",519805,58113,"","2",NA,126.987283004319,35.0637707306726
20647365,"풍성떡방앗간","","Q","음식","Q08","제과제빵떡케익","Q08A03","떡전문","I56191","제과점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031206590000,1,"대지",659,NA,"전라남도 화순군 화순읍 삼천리 659",467903291036,"전라남도 화순군 화순읍 칠충로",86,NA,"4679025031106600001041585","","전라남도 화순군 화순읍 칠충로 86",519807,58137,"","",NA,126.980227804039,35.0571854109452
9335489,"그린마트","","D","소매","D03","종합소매점","D03A02","수퍼마켓","G47121","슈퍼마켓",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202430000,1,"대지",243,NA,"전라남도 화순군 화순읍 만연리 243",467903291004,"전라남도 화순군 화순읍 광덕로",180,NA,"4679025023102430000045157","화순부영아파트","전라남도 화순군 화순읍 광덕로 180",519754,58116,"","1",NA,126.993030924407,35.0608349136715
24100663,"동원스튜디오","","D","소매","D18","사진/광학/정밀기기소매","D18A03","카메라판매","G47823","사진기 및 사진용품 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202210000,1,"대지",221,NA,"전라남도 화순군 화순읍 만연리 221",467903291050,"전라남도 화순군 화순읍 중앙로",94,NA,"4679025023102210000044951","동원빌딩","전라남도 화순군 화순읍 중앙로 94",519806,58125,"","",NA,126.991656612232,35.0602646221556
22556451,"화순애견샵&카페","","Q","음식","Q12","커피점/카페","Q12A01","커피전문점/카페/다방","I56220","비알콜 음료점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025024,"화순읍",4679025024201730000,1,"대지",173,NA,"전라남도 화순군 화순읍 신기리 173",467903291012,"전라남도 화순군 화순읍 서양로",430,NA,"4679025024101730000000001","","전라남도 화순군 화순읍 서양로 430",519950,58105,"","2",NA,126.994293110468,35.0678673764777
24118759,"대림의학","","D","소매","D13","책/서적/도서","D13A03","서적/신문소매","G47611","서적 및 잡지류 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025033,"화순읍",4679025033201210000,1,"대지",121,NA,"전라남도 화순군 화순읍 대리 121",467903291036,"전라남도 화순군 화순읍 칠충로",44,NA,"4679025033101210000041306","대광아파트2차","전라남도 화순군 화순읍 칠충로 44",519767,58137,"201","",NA,126.977502763083,35.0541788028239
20161210,"프로민물","","Q","음식","Q01","한식","Q01A01","한식/백반/한정식","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025028,"화순읍",4679025028208430000,1,"대지",843,NA,"전라남도 화순군 화순읍 일심리 843",467903291053,"전라남도 화순군 화순읍 화동로",5,NA,"4679025028108430000045183","","전라남도 화순군 화순읍 화동로 5",519809,58126,"","",NA,126.993493354038,35.0553130972569
15545824,"농부의땀","","D","소매","D01","음/식료품소매","D01A13","청과물소매","G47214","과실 및 채소 소매업",46,"전라남도",46790,"화순군",4679033000,"청풍면",4679033031,"청풍면",4679033031200890016,1,"대지",89,16,"전라남도 화순군 청풍면 차리 89-16",467903017032,"전라남도 화순군 청풍면 곰치로",2006,1,"4679033031100890016000001","","전라남도 화순군 청풍면 곰치로 2006-1",519871,58162,"","",NA,126.976824017654,34.8753035686146
23985857,"대화종합장식","","D","소매","D07","가정/주방/인테리어","D07A14","지물판매","G47513","벽지 및 장판류 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025030,"화순읍",4679025030202820000,1,"대지",282,NA,"전라남도 화순군 화순읍 광덕리 282",467903291008,"전라남도 화순군 화순읍 만연로",36,NA,"4679025030102820000044780","","전라남도 화순군 화순읍 만연로 36",519803,58125,"","1",NA,126.99038022039,35.0588658317966
24165659,"SOCCUS","","D","소매","D03","종합소매점","D03A01","편의점","G47122","체인화 편의점",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031207240004,1,"대지",724,4,"전라남도 화순군 화순읍 삼천리 724-4",467904673266,"전라남도 화순군 화순읍 시장길",21,NA,"4679025031107240004042133","","전라남도 화순군 화순읍 시장길 21",519807,58122,"","",NA,126.983249868688,35.0574721877754
20491122,"미성식당","","Q","음식","Q01","한식","Q01A01","한식/백반/한정식","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679035000,"능주면",4679035023,"능주면",4679035023202340007,1,"대지",234,7,"전라남도 화순군 능주면 석고리 234-7",467904673426,"전라남도 화순군 능주면 죽수길",81,NA,"4679035023102340007025440","","전라남도 화순군 능주면 죽수길 81",519811,58153,"","1",NA,126.958491469291,34.990494454132
24223129,"이지렌트카","화순지점","F","생활서비스","F07","물품기기대여","F07A11","렌트카","L69110","자동차 임대업",46,"전라남도",46790,"화순군",4679031000,"한천면",4679031025,"한천면",4679031025201870000,1,"대지",187,NA,"전라남도 화순군 한천면 가암리 187",467903291043,"전라남도 화순군 한천면 덕음로",291,5,"4679031025101870000000001","","전라남도 화순군 한천면 덕음로 291-5",519821,58142,"","",NA,126.992105128677,34.9996391261997
