시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화순군,가로1구,,334000001,,,전라남도 화순군,,35.054879,127.07238
화순군,가로1구,,334000002,,,전라남도 화순군,,35.054912,127.072299
화순군,가봉리,,334000003,,,전라남도 화순군,,34.940698,126.95716
화순군,가봉리,,334000004,,,전라남도 화순군,,34.940667,126.957258
화순군,가수리1구,,334000005,,,전라남도 화순군,,35.097858,127.148768
화순군,가수리2구,,334000006,,,전라남도 화순군,,35.10914,127.171496
화순군,가수리2구,,334000007,,,전라남도 화순군,,35.109177,127.171433
화순군,가수리3구,,334000008,,,전라남도 화순군,,35.12316,127.182382
화순군,가수리입구,,334000009,,,전라남도 화순군,,35.100376,127.140647
화순군,가수리입구,,334000010,,,전라남도 화순군,,35.1004,127.140535
화순군,가암리1구,,334000011,,,전라남도 화순군,,35.003913,126.98854
화순군,가암리2구,,334000012,,,전라남도 화순군,,34.998442,126.994277
화순군,가암리2구,,334000013,,,전라남도 화순군,,34.998506,126.99418
화순군,갈두(리),,334000014,,,전라남도 화순군,,35.089366,127.044603
화순군,갈두(리),,334000015,,,전라남도 화순군,,35.08937,127.044573
화순군,갈전,,334000016,,,전라남도 화순군,,35.189812,127.11242
화순군,갈전,,334000017,,,전라남도 화순군,,35.189814,127.11231
화순군,감도리1구,,334000018,,,전라남도 화순군,,35.034683,126.980018
화순군,감도리2구,,334000019,,,전라남도 화순군,,35.0384331,126.9752579
화순군,감도리2구,,334000020,,,전라남도 화순군,,35.038428,126.975332
화순군,갑동,,334000021,,,전라남도 화순군,,35.110327,127.061133
화순군,갑동,,334000022,,,전라남도 화순군,,35.110386,127.061117
화순군,개화동,,334000023,,,전라남도 화순군,,34.860442,127.035428
화순군,개화동,,334000024,,,전라남도 화순군,,34.860546,127.035414
화순군,검산(리),,334000028,,,전라남도 화순군,,34.982983,127.091588
화순군,경현리,,334000029,,,전라남도 화순군,,35.052887,127.08734
화순군,경현리,,334000030,,,전라남도 화순군,,35.052892,127.087368
화순군,계소리1구,,334000033,,,전라남도 화순군,,35.050756,126.958689
화순군,계소리1구,,334000034,,,전라남도 화순군,,35.050818,126.9583453
화순군,계소리,,334000035,,,전라남도 화순군,,35.050866,126.951121
화순군,계소리,,334000036,,,전라남도 화순군,,35.050901,126.949901
화순군,계소리3구,,334000037,,,전라남도 화순군,,35.047297,126.956677
화순군,계소리3구,,334000038,,,전라남도 화순군,,35.047308,126.956572
화순군,고려병원,,334000039,,,전라남도 화순군,,35.056605,126.990233
화순군,고려병원,,334000040,,,전라남도 화순군,,35.056577,126.99015
화순군,고암촌,,334000041,,,전라남도 화순군,,34.930015,127.025272
화순군,고암촌,,334000042,,,전라남도 화순군,,34.93002,127.025401
화순군,곰치,,334000045,,,전라남도 화순군,,34.843954,126.938243
화순군,곰치,,334000046,,,전라남도 화순군,,34.843949,126.938345
화순군,곰치휴게소,,334000047,,,전라남도 화순군,,34.830461,126.936931
화순군,곰치휴게소,,334000048,,,전라남도 화순군,,34.830481,126.93681
화순군,공간아파트,,334000049,,,전라남도 화순군,,35.067205,126.987665
화순군,공간아파트,,334000050,,,전라남도 화순군,,35.067163,126.987475
화순군,광대월,,334000051,,,전라남도 화순군,,34.962167,126.961357
화순군,광업소,,334000054,,,전라남도 화순군,,34.928549,127.015533
화순군,광업소,,334000055,,,전라남도 화순군,,34.928672,127.015611
화순군,교육청,,334000067,,,전라남도 화순군,,35.065185,126.987394
화순군,교육청,,334000068,,,전라남도 화순군,,35.065525,126.987217
화순군,구례리1구,,334000069,,,전라남도 화순군,,34.860554,127.035014
