nm_k_c,nm_k_cf,k_char,addr_k,x_k_uk,y_k_uk,k_gid
화순군 능주면,화순군능주면,관공서,전라남도 화순군 능주면 죽수길 73,"950537","1666225",다라50ba66aa
화순군 화순읍2,화순군화순읍2,관공서,전라남도 화순군 화순읍 중앙로 20-4,"952995","1674017",다라52bb74aa
화순군 화순읍,화순군화순읍,관공서,전라남도 화순군 화순읍 중앙로 20-4,"952995","1674017",다라52bb74aa
화순군청,화순군청,관공서,전라남도 화순군 화순읍 동헌길 23,"953180","1674468",다라53aa74ab
화순군청,화순군청,관공서,전라남도 화순군 화순읍 동헌길 23,"953180","1674468",다라53aa74ab
화순축협본점,화순축협본점,다중이용시설,전라남도 화순군 화순읍 서양로 145,"953415","1673170",다라53ab73aa
화순우체국,화순우체국,관공서,전라남도 화순군 화순읍 중앙로 85,"953560","1674088",다라53ba74aa
군민종합문화센터,군민종합문화센터,다중이용시설,전라남도 화순군 화순읍 광덕로 231,"953662","1674613",다라53ba74ba
화순전남대학교 병원,화순전남대학교 병원,다중이용시설,전라남도 화순군 화순읍 서양로 322,"954607","1673954",다라54ba73bb
화순군 사평면,화순군사평면,관공서,전라남도 화순군 남면 사호로 229,"963135","1668102",다라63aa68aa
화순군 백아면,화순군백아면,관공서,전라남도 화순군 북면 학천길 26,"966523","1685920",다라66ba85bb
