"s_gid","D","F","L","N","O","P","Q","R"
"다라42ba57aa",0,0,0,0,1,0,1,0
"다라42ba57ba",0,0,0,0,0,0,1,0
"다라42bb57aa",0,1,0,0,0,0,2,0
"다라42bb57ab",0,1,0,0,0,0,0,0
"다라43aa57aa",0,0,0,0,0,0,1,0
"다라43aa57bb",0,1,0,0,0,0,3,0
"다라43ba59ba",0,1,0,0,0,0,2,0
"다라43ba59bb",1,0,0,0,0,0,0,0
"다라43ba68ab",1,0,0,0,0,0,0,0
"다라44aa56bb",1,0,0,0,0,0,0,0
"다라44aa63ab",1,0,0,0,0,0,1,0
"다라44ab61ba",2,0,0,0,0,0,1,0
"다라44ab62ba",1,0,0,0,0,0,0,0
"다라44ab63ba",1,0,0,0,0,0,0,0
"다라44ab65ab",0,0,0,0,0,0,1,0
"다라44ba60ab",1,0,0,0,0,0,0,0
"다라44ba61aa",0,0,0,0,0,0,1,0
"다라44ba65ba",0,0,0,0,0,0,3,0
"다라44bb59ab",1,0,0,0,0,0,0,0
"다라44bb60ab",0,0,0,0,0,0,1,0
"다라44bb65bb",1,0,0,0,0,0,1,0
"다라44bb66ab",1,0,0,0,0,0,0,0
"다라44bb66ba",2,0,0,0,0,0,3,0
"다라44bb67aa",1,0,0,0,0,0,0,0
"다라44bb67ab",1,0,0,0,0,0,0,0
"다라44bb68ab",1,0,0,0,0,0,0,0
"다라45aa53bb",1,0,0,0,0,0,0,0
"다라45aa60aa",1,1,0,0,0,0,2,0
"다라45aa64bb",0,0,0,0,0,0,2,0
"다라45aa66ba",1,0,0,0,0,0,2,0
"다라45aa68ab",0,0,0,0,0,0,1,0
"다라45ab67ab",1,0,0,0,0,0,2,0
"다라45ab67bb",1,0,0,0,0,0,0,0
"다라45ab70ba",0,2,0,0,1,0,2,0
"다라45ab71aa",0,0,0,0,3,0,0,0
"다라45ab71ab",0,0,0,0,4,0,0,0
"다라45ba69bb",1,2,2,0,3,0,0,0
"다라45ba70aa",0,0,0,0,0,0,4,0
"다라45ba70ab",0,0,0,0,0,0,1,0
"다라45ba70ba",3,1,0,0,4,0,3,0
"다라45ba71ba",1,0,0,0,1,0,0,0
"다라45ba71bb",2,0,0,0,0,0,8,0
"다라45ba72aa",0,0,0,0,0,0,6,0
"다라45ba72ab",2,0,0,0,0,0,8,0
"다라45bb65bb",0,0,0,0,0,0,1,0
"다라45bb66aa",1,1,0,0,0,0,0,0
"다라45bb68bb",1,0,0,0,0,0,0,0
"다라45bb69aa",1,0,0,0,0,0,0,0
"다라45bb69ba",0,0,0,0,0,0,1,0
"다라45bb69bb",0,1,0,0,0,0,1,0
"다라45bb70aa",1,0,1,0,1,0,6,0
"다라45bb70ab",2,0,1,1,0,0,4,0
"다라45bb70ba",0,0,0,0,7,0,0,0
"다라45bb70bb",0,0,1,0,3,0,1,0
"다라45bb71aa",1,0,0,0,0,0,5,0
"다라45bb71ab",0,0,1,0,1,0,2,1
"다라45bb71ba",0,0,0,0,0,0,5,0
"다라45bb71bb",2,0,0,0,1,0,4,0
"다라45bb72ab",0,0,0,0,0,0,2,0
"다라45bb73aa",3,0,0,0,0,0,0,0
"다라46aa65bb",1,0,0,0,0,0,0,0
