gid,BS,BS_380,BS_800
다라38aa53aa,"0",0.000000,1.000000
다라38ab52bb,"0",0.000000,1.000000
다라38ab53aa,"0",0.000000,1.000000
다라38ab53ab,"0",1.000000,1.000000
다라38ba52bb,"0",0.000000,1.000000
다라38ba53aa,"0",0.000000,1.000000
다라38ba53ab,"0",1.000000,1.000000
다라38ba53ba,"1",1.000000,1.000000
다라38bb52bb,"0",0.000000,1.000000
다라38bb53aa,"0",0.000000,1.000000
다라38bb53ab,"0",1.000000,1.000000
다라38bb53ba,"0",1.000000,1.000000
다라38bb53bb,"0",1.000000,2.000000
다라39aa52ba,"0",0.000000,0.000000
다라39aa52bb,"0",0.000000,0.000000
다라39aa53aa,"0",0.000000,1.000000
다라39aa53ab,"0",0.000000,1.000000
다라39aa53ba,"0",0.000000,2.000000
다라39aa53bb,"0",0.000000,3.000000
다라39aa54aa,"0",0.000000,3.000000
다라39ab52ba,"0",0.000000,0.000000
다라39ab52bb,"0",0.000000,0.000000
다라39ab53aa,"0",0.000000,0.000000
다라39ab53ab,"0",0.000000,2.000000
다라39ab53ba,"0",0.000000,3.000000
다라39ab53bb,"0",1.000000,3.000000
다라39ab54aa,"0",1.000000,2.000000
다라39ba52bb,"0",0.000000,0.000000
다라39ba53aa,"0",0.000000,0.000000
다라39ba53ab,"0",0.000000,2.000000
다라39ba53ba,"0",0.000000,2.000000
다라39ba53bb,"0",2.000000,2.000000
다라39ba54aa,"1",2.000000,2.000000
다라39bb52bb,"0",0.000000,0.000000
다라39bb53aa,"0",0.000000,0.000000
다라39bb53ab,"0",0.000000,2.000000
다라39bb53ba,"0",0.000000,2.000000
다라39bb53bb,"0",2.000000,2.000000
다라39bb54aa,"1",2.000000,2.000000
다라39bb54ab,"0",2.000000,2.000000
다라39bb54ba,"0",0.000000,4.000000
다라40aa52bb,"0",0.000000,0.000000
다라40aa53aa,"0",0.000000,0.000000
다라40aa53ab,"0",0.000000,1.000000
다라40aa53ba,"0",0.000000,2.000000
다라40aa53bb,"0",1.000000,2.000000
다라40aa54aa,"0",1.000000,2.000000
다라40aa54ab,"0",1.000000,4.000000
다라40aa54ba,"0",0.000000,4.000000
다라40ab52bb,"0",0.000000,0.000000
다라40ab53aa,"0",0.000000,0.000000
다라40ab53ab,"0",0.000000,0.000000
다라40ab53ba,"0",0.000000,1.000000
다라40ab53bb,"0",0.000000,2.000000
다라40ab54aa,"0",0.000000,4.000000
다라40ab54ab,"0",0.000000,4.000000
다라40ab54ba,"0",2.000000,3.000000
다라40ab54bb,"0",2.000000,2.000000
다라40ba52bb,"0",0.000000,0.000000
다라40ba53aa,"0",0.000000,0.000000
다라40ba53ab,"0",0.000000,0.000000
다라40ba53ba,"0",0.000000,0.000000
다라40ba53bb,"0",0.000000,1.000000
다라40ba54aa,"0",0.000000,3.000000
다라40ba54ab,"0",0.000000,3.000000
다라40ba54ba,"0",2.000000,2.000000
다라40ba54bb,"2",2.000000,2.000000
다라40bb52bb,"0",0.000000,0.000000
다라40bb53aa,"0",0.000000,0.000000
다라40bb53ab,"0",0.000000,0.000000
다라40bb53ba,"0",0.000000,0.000000
다라40bb53bb,"0",0.000000,0.000000
다라40bb54aa,"0",0.000000,2.000000
다라40bb54ab,"0",0.000000,2.000000
다라40bb54ba,"0",2.000000,2.000000
다라40bb54bb,"0",2.000000,2.000000
다라41aa52bb,"0",0.000000,0.000000
다라41aa53aa,"0",0.000000,0.000000
다라41aa53ab,"0",0.000000,0.000000
다라41aa53ba,"0",0.000000,0.000000
다라41aa53bb,"0",0.000000,0.000000
다라41aa54aa,"0",0.000000,0.000000
다라41aa54ab,"0",0.000000,2.000000
다라41aa54ba,"0",0.000000,2.000000
다라41aa54bb,"0",0.000000,2.000000
다라41ab52bb,"0",0.000000,0.000000
다라41ab53aa,"0",0.000000,0.000000
다라41ab53ab,"0",0.000000,0.000000
다라41ab53ba,"0",0.000000,0.000000
다라41ab53bb,"0",0.000000,0.000000
다라41ab54aa,"0",0.000000,0.000000
다라41ab54ab,"0",0.000000,0.000000
다라41ab54ba,"0",0.000000,2.000000
다라41ab54bb,"0",0.000000,2.000000
다라41ba53aa,"0",0.000000,0.000000
다라41ba53ab,"0",0.000000,0.000000
다라41ba53ba,"0",0.000000,0.000000
다라41ba53bb,"0",0.000000,0.000000
다라41ba54aa,"0",0.000000,0.000000
다라41ba54ab,"0",0.000000,0.000000
다라41ba54ba,"0",0.000000,0.000000
다라41ba54bb,"0",0.000000,0.000000
다라41ba55aa,"0",0.000000,0.000000
다라41bb53aa,"0",0.000000,0.000000
다라41bb53ab,"0",0.000000,0.000000
다라41bb53ba,"0",0.000000,0.000000
다라41bb53bb,"0",0.000000,0.000000
다라41bb54aa,"0",0.000000,0.000000
다라41bb54ab,"0",0.000000,0.000000
다라41bb54ba,"0",0.000000,0.000000
다라41bb54bb,"0",0.000000,0.000000
다라41bb55aa,"0",0.000000,0.000000
다라42aa53aa,"0",0.000000,0.000000
다라42aa53ab,"0",0.000000,0.000000
다라42aa53ba,"0",0.000000,0.000000
다라42aa53bb,"0",0.000000,0.000000
다라42aa54aa,"0",0.000000,0.000000
다라42aa54ab,"0",0.000000,0.000000
다라42aa54ba,"0",0.000000,0.000000
다라42aa54bb,"0",0.000000,0.000000
다라42aa55aa,"0",0.000000,0.000000
다라42aa60ab,"0",0.000000,1.000000
다라42aa60ba,"0",0.000000,1.000000
다라42aa60bb,"0",0.000000,0.000000
다라42ab53ab,"0",0.000000,0.000000
다라42ab53ba,"0",0.000000,0.000000
다라42ab53bb,"0",0.000000,0.000000
다라42ab54aa,"0",0.000000,0.000000
다라42ab54ab,"0",0.000000,0.000000
다라42ab54ba,"0",0.000000,0.000000
다라42ab54bb,"0",0.000000,0.000000
다라42ab55aa,"0",0.000000,0.000000
다라42ab55ab,"0",0.000000,0.000000
다라42ab55ba,"0",0.000000,0.000000
다라42ab58aa,"0",0.000000,2.000000
다라42ab58ab,"0",0.000000,2.000000
다라42ab58ba,"0",0.000000,0.000000
다라42ab58bb,"0",0.000000,0.000000
다라42ab60aa,"0",0.000000,1.000000
다라42ab60ab,"0",0.000000,3.000000
다라42ab60ba,"0",0.000000,3.000000
다라42ab60bb,"0",0.000000,3.000000
다라42ab61aa,"0",0.000000,0.000000
다라42ab61ab,"0",0.000000,0.000000
다라42ab68ab,"0",0.000000,0.000000
다라42ab68ba,"0",0.000000,0.000000
다라42ab68bb,"0",0.000000,0.000000
다라42ba53ab,"0",0.000000,0.000000
다라42ba53ba,"0",0.000000,0.000000
다라42ba53bb,"0",0.000000,0.000000
다라42ba54aa,"0",0.000000,0.000000
다라42ba54ab,"0",0.000000,0.000000
다라42ba54ba,"0",0.000000,0.000000
다라42ba54bb,"0",0.000000,0.000000
다라42ba55aa,"0",0.000000,0.000000
다라42ba55ab,"0",0.000000,0.000000
다라42ba55ba,"0",0.000000,0.000000
다라42ba55bb,"0",0.000000,0.000000
다라42ba56bb,"0",2.000000,6.000000
다라42ba57aa,"2",4.000000,6.000000
다라42ba57ab,"0",4.000000,4.000000
다라42ba57ba,"0",2.000000,6.000000
다라42ba57bb,"0",0.000000,6.000000
다라42ba58aa,"0",0.000000,4.000000
다라42ba58ab,"0",0.000000,2.000000
다라42ba58ba,"0",0.000000,2.000000
다라42ba58bb,"0",0.000000,0.000000
다라42ba59aa,"0",0.000000,0.000000
다라42ba59ab,"0",0.000000,0.000000
다라42ba59ba,"0",0.000000,1.000000
다라42ba59bb,"0",0.000000,1.000000
다라42ba60aa,"0",1.000000,3.000000
다라42ba60ab,"0",1.000000,3.000000
다라42ba60ba,"0",1.000000,3.000000
다라42ba60bb,"0",0.000000,3.000000
다라42ba61aa,"0",0.000000,3.000000
다라42ba61ab,"0",0.000000,0.000000
다라42ba68ab,"0",0.000000,1.000000
다라42ba68ba,"0",0.000000,1.000000
다라42ba68bb,"0",0.000000,0.000000
다라42ba69aa,"0",0.000000,0.000000
다라42bb53ab,"0",0.000000,0.000000
다라42bb53ba,"0",0.000000,0.000000
다라42bb53bb,"0",0.000000,0.000000
다라42bb54aa,"0",0.000000,0.000000
다라42bb54ab,"0",0.000000,0.000000
다라42bb54ba,"0",0.000000,0.000000
다라42bb54bb,"0",0.000000,0.000000
다라42bb55aa,"0",0.000000,0.000000
다라42bb55ab,"0",0.000000,0.000000
다라42bb55ba,"0",0.000000,0.000000
다라42bb55bb,"0",0.000000,2.000000
다라42bb56aa,"0",0.000000,2.000000
다라42bb56ab,"0",2.000000,4.000000
다라42bb56ba,"0",2.000000,6.000000
다라42bb56bb,"0",4.000000,6.000000
다라42bb57aa,"0",4.000000,6.000000
다라42bb57ab,"2",4.000000,8.000000
다라42bb57ba,"0",2.000000,6.000000
다라42bb57bb,"0",2.000000,6.000000
다라42bb58aa,"0",2.000000,4.000000
다라42bb58ab,"0",2.000000,2.000000
다라42bb58ba,"0",0.000000,2.000000
다라42bb58bb,"0",0.000000,2.000000
다라42bb59aa,"0",0.000000,0.000000
다라42bb59ab,"0",0.000000,0.000000
다라42bb59ba,"0",0.000000,1.000000
다라42bb59bb,"0",0.000000,3.000000
다라42bb60aa,"0",1.000000,3.000000
다라42bb60ab,"1",3.000000,3.000000
다라42bb60ba,"0",3.000000,3.000000
다라42bb60bb,"0",2.000000,3.000000
다라42bb61aa,"0",0.000000,3.000000
다라42bb61ab,"0",0.000000,2.000000
다라42bb61ba,"0",0.000000,0.000000
다라42bb68aa,"0",0.000000,1.000000
다라42bb68ab,"0",0.000000,1.000000
다라42bb68ba,"0",0.000000,1.000000
다라42bb68bb,"0",0.000000,1.000000
다라42bb69aa,"0",0.000000,0.000000
다라42bb69ab,"0",0.000000,0.000000
다라42bb69ba,"0",0.000000,0.000000
다라43aa53ba,"0",0.000000,0.000000
다라43aa53bb,"0",0.000000,0.000000
다라43aa54aa,"0",0.000000,0.000000
다라43aa54ab,"0",0.000000,0.000000
다라43aa54ba,"0",0.000000,0.000000
다라43aa54bb,"0",0.000000,0.000000
다라43aa55aa,"0",0.000000,0.000000
다라43aa55ab,"0",0.000000,0.000000
다라43aa55ba,"0",0.000000,0.000000
다라43aa55bb,"0",0.000000,2.000000
다라43aa56aa,"0",0.000000,4.000000
다라43aa56ab,"0",2.000000,4.000000
다라43aa56ba,"2",2.000000,8.000000
다라43aa56bb,"0",2.000000,6.000000
다라43aa57aa,"0",2.000000,6.000000
다라43aa57ab,"0",2.000000,8.000000
다라43aa57ba,"0",2.000000,6.000000
다라43aa57bb,"0",2.000000,4.000000
